Time_min,PAR_umolPPFDm-2s-1,Tair_C
930,1298,32.7
931,1280,32.6
932,1265,32.5
933,1266,32.5
934,1252,32.4
935,1258,32.3
936,1267,32.3
937,1269,32.5
938,1267,32.6
939,1264,32.6
940,1245,32.7
941,1249,32.9
942,1251,32.8
943,1263,32.5
944,1288,32.3
945,1292,32.1
946,1270,32.2
947,1249,32.5
948,1210,32.6
949,1197,32.4
950,1158,32.3
951,653,32.1
952,558,31.9
953,1189,31.8
954,1154,31.8
955,590,31.9
956,313,31.7
957,911,31.5
958,1160,31.5
959,1172,31.6
960,1174,31.8
961,1165,31.8
962,1157,31.9
963,1041,32
964,321,32
965,378,32
966,377,31.8
967,248,31.5
968,815,31.2
969,1024,31.1
970,1022,31.2
971,1026,31.4
972,1024,31.5
973,1033,31.6
974,1040,31.7
975,1029,31.7
976,1006,31.7
977,985,31.7
978,987,31.8
979,973,31.9
980,962,31.9
981,964,31.9
982,471,31.9
983,254,31.7
984,353,31.3
985,937,31
986,928,31
987,907,31.2
988,898,31.4
989,892,31.6
990,878,31.6
991,865,31.5
992,845,31.6
993,834,31.6
994,828,31.5
995,821,31.4
996,831,31.4
997,824,31.3
998,814,31.4
999,804,31.4
1000,794,31.4
1001,773,31.4
1002,764,31.4
1003,766,31.4
1004,758,31.3
1005,753,31.3
1006,754,31.2
1007,754,31.1
1008,762,31.1
1009,769,31.2
1010,750,31.3
1011,737,31.4
1012,738,31.4
1013,736,31.4
1014,737,31.4
1015,742,31.4
1016,737,31.4
1017,731,31.5
1018,719,31.5
1019,614,31.5
1020,303,31.5
1021,312,31.3
1022,664,31.1
1023,665,31
1024,655,31
1025,627,30.9
1026,603,31
1027,591,30.9
1028,530,30.9
1029,589,30.8
1030,584,30.8
1031,568,30.8
1032,564,30.7
1033,556,30.7
1034,548,30.7
1035,539,30.7
1036,536,30.8
1037,535,30.8
1038,538,30.8
1039,544,30.8
1040,540,30.8
1041,535,30.8
1042,528,30.8
1043,518,30.8
1044,511,30.8
1045,506,30.8
1046,508,30.7
1047,506,30.7
1048,497,30.7
1049,478,30.7
1050,458,30.7
1051,443,30.7
1052,430,30.6
1053,385,30.5
1054,409,30.4
1055,424,30.4
1056,424,30.4
1057,420,30.3
1058,412,30.2
1059,407,30.3
1060,394,30.3
1061,383,30.3
1062,372,30.3
1063,359,30.2
1064,348,30.1
1065,338,30.1
1066,330,30
1067,323,30
1068,318,30
1069,315,29.9
1070,312,29.9
1071,308,29.8
1072,299,29.8
1073,298,29.7
1074,290,29.7
1075,282,29.8
1076,274,29.8
1077,267,29.8
1078,258,29.7
1079,249,29.7
1080,245,29.7
1081,239,29.7
1082,232,29.7
1083,227,29.7
1084,222,29.7
1085,216,29.6
1086,210,29.6
1087,205,29.5
1088,198,29.5
1089,192,29.5
1090,187,29.4
1091,182,29.4
1092,177,29.4
1093,175,29.4
1094,174,29.4
1095,172,29.4
1096,172,29.4
1097,168,29.4
1098,160,29.4
1099,149,29.4
